"","species","lon","lat","uncertainty","date","year","month"
"1","Richea continentis",148.7856,-35.5277,2000,"2006-12-13",NA,NA
"2","Richea continentis",147.5974101649,-37.0972766654,10000,"",NA,NA
"3","Richea continentis",148.2666666,-36.4333333,10000,"1979-01-01",1979,NA
"4","Richea continentis",148.2632266797,-36.4561579167,10000,"1910-01-01",1910,NA
"5","Richea continentis",145.879306,-37.48375,2000,"1983-01-01",1983,NA
"6","Richea continentis",147.2667,-36.75,10000,"",NA,NA
"7","Richea continentis",146.35,-37.8667,10000,"1892-01-01",1892,NA
"8","Richea continentis",147.9667,-37.2167,10000,"1882-01-01",1882,NA
"9","Richea continentis",146.75,-36.7667,10000,"",NA,NA
"10","Richea continentis",146.2667,-37.85,10000,"1889-01-01",1889,NA
"11","Richea continentis",146.776436,-36.710927,7000,"1970-01-01",1970,NA
"12","Richea continentis",148.15,-36.8667,25000,"",NA,NA
"13","Richea continentis",146.2667,-37.85,10000,"1895-01-01",1895,NA
"14","Richea continentis",145.879306,-37.48375,2000,"1983-01-01",1983,NA
"15","Richea continentis",146.75,-36.7667,10000,"1940-01-01",1940,NA
"16","Richea continentis",145.9167,-37.7,10000,"",NA,NA
"17","Richea continentis",146.35,-37.8667,10000,"1892-01-01",1892,NA
"18","Richea continentis",148.2666666,-36.4333333,10000,"1979-01-01",1979,NA
"19","Richea continentis",148.2666666,-36.4333333,10000,"1979-01-01",1979,NA
"20","Richea continentis",147.333318,-36.942829,5000,"1962-01-01",1962,NA
"21","Richea continentis",148.2667,-36.45,10000,"1954-01-01",1954,NA
"22","Richea continentis",146.6167,-37.4167,10000,"1887-01-01",1887,NA
"23","Richea continentis",145.879306,-37.48375,2000,"1983-01-01",1983,NA
"24","Richea continentis",148.4667,-36.1167,25000,"",NA,NA
"25","Richea continentis",146.4167,-37.1167,10000,"",NA,NA
"26","Richea continentis",147.6,-36.9,10000,"",NA,NA
"27","Richea continentis",148.4667,-36.1167,25000,"",NA,NA
"28","Richea continentis",148.15,-36.8667,10000,"",NA,NA
"29","Richea continentis",145.879306,-37.48375,2000,"1983-01-01",1983,NA
"30","Richea continentis",146.2667,-37.85,10000,"1892-01-01",1892,NA
"31","Richea continentis",146.2667,-37.8167,10000,"1895-01-01",1895,NA
"32","Richea continentis",147.6,-36.95,10000,"",NA,NA
"33","Richea continentis",148.2666666,-36.4333333,10000,"1979-01-01",1979,NA
"34","Richea continentis",146.35,-37.8667,10000,"",NA,NA
"35","Richea continentis",146.7768607334,-36.7470035015,1000,"1913-01-01",1913,NA
"36","Richea continentis",148.0167,-37.1,10000,"1884-01-01",1884,NA
"37","Richea continentis",146.4167,-37.1167,10000,"",NA,NA
"38","Richea continentis",146.786,-36.771,50,"2004-01-20",2004,1
"39","Richea continentis",148.2667,-36.45,25000,"1880-01-01",1880,1
"40","Richea continentis",148.05,-37,10000,"1971-01-19",1971,1
"41","Richea continentis",147.417924263,-36.9151353744,900,"1977-01-06",1977,1
"42","Richea continentis",146.8,-36.7167,5000,"1969-01-15",1969,1
"43","Richea continentis",148.767882887,-35.648446012,5000,"1912-01-15",1912,1
"44","Richea continentis",147.3667,-36.8667,10000,"1960-01-13",1960,1
"45","Richea continentis",148.405614004,-36.405401424,150,"2018-01-29",2018,1
"46","Richea continentis",147.3,-36.9,10000,"1966-01-19",1966,1
"47","Richea continentis",146.27,-37.83,2000,"1995-01-02",1995,1
"48","Richea continentis",146.8,-36.75,10000,"1947-01-05",1947,1
"49","Richea continentis",147.2855,-36.8713,500,"2000-01-11",2000,1
"50","Richea continentis",147.304,-36.885,500,"2000-01-11",2000,1
"51","Richea continentis",147.279,-36.918,50,"1998-01-21",1998,1
"52","Richea continentis",148.41278277,-36.40887272,10000,"2009-01-21",2009,1
"53","Richea continentis",146.7838,-36.6913,15,"1982-01-01",1982,1
"54","Richea continentis",148.29118,-36.48103,5,"2019-01-20",2019,1
"55","Richea continentis",147.3429,-36.8448,50,"1998-01-16",1998,1
"56","Richea continentis",147.291,-36.933,15,"1981-01-01",1981,1
"57","Richea continentis",146.75,-36.7667,10000,"1919-01-01",1919,1
"58","Richea continentis",146.2667,-37.8167,10000,"1966-01-22",1966,1
"59","Richea continentis",148.798977,-35.722738,1000,"1994-01-12",1994,1
"60","Richea continentis",148.27,-36.45,2000,"1900-01-01",1900,1
"61","Richea continentis",148.35,-36.38,NA,"1981-01-24",1981,1
"62","Richea continentis",148.7945435,-35.5742987,100,"1988-01-11",1988,1
"63","Richea continentis",147.333,-36.829,50,"1998-01-19",1998,1
"64","Richea continentis",146.6806,-37.2097,1000,"1981-01-06",1981,1
"65","Richea continentis",147.2612,-36.9276,50,"1998-01-18",1998,1
"66","Richea continentis",147.323734,-36.866642,1000,"1982-01-13",1982,1
"67","Richea continentis",148.35,-36.3833,10000,"1981-01-24",1981,1
"68","Richea continentis",146.7722,-36.7747,15,"1982-01-01",1982,1
"69","Richea continentis",148.3247,-36.42,3000,"1968-01-18",1968,1
"70","Richea continentis",147.2943,-36.9001,50,"2004-01-22",2004,1
"71","Richea continentis",147.255,-36.879,50,"2004-01-23",2004,1
"72","Richea continentis",148.8,-35.5667,2000,"1968-01-09",1968,1
"73","Richea continentis",148.317604,-36.498577,1000,"1980-01-16",1980,1
"74","Richea continentis",148.7981,-35.7242,1000,"1994-01-12",1994,1
"75","Richea continentis",147.2784403929,-36.8808579525,3866,"2011-01-16",2011,1
"76","Richea continentis",147.2505,-36.9011,15,"1981-01-01",1981,1
"77","Richea continentis",148.317603,-36.398577,1000,"1980-01-16",1980,1
"78","Richea continentis",146.3194,-37.8311,500,"1994-01-16",1994,1
"79","Richea continentis",147.3316,-36.8263,50,"2004-01-27",2004,1
"80","Richea continentis",148.8,-35.65,5000,"1961-01-17",1961,1
"81","Richea continentis",148.3219682773,-36.4298008763,31,"2018-01-21",2018,1
"82","Richea continentis",147.2908,-36.9133,50,"2004-01-22",2004,1
"83","Richea continentis",146.7717,-36.7339,1000,"1982-01-26",1982,1
"84","Richea continentis",146.8349,-37.5112,50,"1985-01-04",1985,1
"85","Richea continentis",147.2969,-36.8719,500,"2008-01-23",2008,1
"86","Richea continentis",148.0833,-37,10000,"1971-01-18",1971,1
"87","Richea continentis",146.7138,-37.4608,15,"1981-01-01",1981,1
"88","Richea continentis",147.2855,-36.9136,15,"1981-01-01",1981,1
"89","Richea continentis",147.24156,-36.899567,NA,"2014-01-25",2014,1
"90","Richea continentis",148.2667,-36.45,10000,"1884-01-01",1884,1
"91","Richea continentis",148.48,-36.03,10000,"1958-01-17",1958,1
"92","Richea continentis",148.1511,-36.8483,500,"1971-01-28",1971,1
"93","Richea continentis",146.8013,-36.7205,15,"1982-01-01",1982,1
"94","Richea continentis",147.3228,-36.8681,1000,"1982-01-13",1982,1
"95","Richea continentis",146.7902,-36.7413,15,"1982-01-01",1982,1
"96","Richea continentis",146.7881316667,-36.7657366667,NA,"2017-01-17",2017,1
"97","Richea continentis",148.0167,-37.0667,10000,"1971-01-22",1971,1
"98","Richea continentis",147.3038,-36.8844,500,"2000-01-11",2000,1
"99","Richea continentis",146.8,-36.75,10000,"1975-01-09",1975,1
"100","Richea continentis",148.7881,-35.5661,3000,"1961-01-10",1961,1
"101","Richea continentis",147.333,-36.829,50,"1998-01-20",1998,1
"102","Richea continentis",146.788131666667,-36.7657366666667,NA,"2017-01-16",2017,1
"103","Richea continentis",145.8666666667,-37.4833333333,NA,"1984-01-18",1984,1
"104","Richea continentis",148.8012155,-35.64844551,5000,"1961-01-17",1961,1
"105","Richea continentis",146.8,-36.75,10000,"1938-01-29",1938,1
"106","Richea continentis",146.2763,-37.8094,15,"1982-01-01",1982,1
"107","Richea continentis",147.3041,-36.8847,500,"2000-01-11",2000,1
"108","Richea continentis",147.268,-36.865,500,"1967-01-01",1967,1
"109","Richea continentis",147.0166666667,-37.0833333333,1000,"1971-01-22",1971,1
"110","Richea continentis",147.2667,-36.9167,10000,"1966-01-26",1966,1
"111","Richea continentis",148.7833,-35.5664,50,"2013-01-15",2013,1
"112","Richea continentis",147.2128,-36.9161,50,"2018-01-26",2018,1
"113","Richea continentis",147.2786,-36.9322,15,"1981-01-01",1981,1
"114","Richea continentis",146.8057,-36.7212,50,"2004-01-19",2004,1
"115","Richea continentis",148.267907494,-36.448454682,2000,"1924-01-01",1924,1
"116","Richea continentis",147.2,-37.0167,10000,"1952-01-20",1952,1
"117","Richea continentis",147.2146,-36.9137,50,"1998-01-19",1998,1
"118","Richea continentis",146.2625,-37.7997,15,"1982-01-01",1982,1
"119","Richea continentis",146.25,-37.79,15,"1982-01-01",1982,1
"120","Richea continentis",148.8,-35.65,10000,"1961-01-17",1961,1
"121","Richea continentis",146.3513,-37.8761,500,"1994-01-15",1994,1
"122","Richea continentis",147.2969,-36.9002,500,"2008-01-23",2008,1
"123","Richea continentis",147.3227,-36.8219,50,"2004-01-27",2004,1
"124","Richea continentis",148.306869062,-36.451446831,50,"2010-01-29",2010,1
"125","Richea continentis",147.2158,-36.9519,15,"1981-01-01",1981,1
"126","Richea continentis",148.7843221231,-35.6986512438,10000,"1954-01-16",1954,1
"127","Richea continentis",147.2794,-36.9205,15,"1981-01-01",1981,1
"128","Richea continentis",148.3,-36.4199999991,3000,"1981-01-22",1981,1
"129","Richea continentis",147.3432,-36.8437,50,"1998-01-16",1998,1
"130","Richea continentis",147.285,-36.915,1000,"1981-01-01",1981,1
"131","Richea continentis",147.2833,-36.9333,NA,"1970-01-25",1970,1
"132","Richea continentis",148.5167,-36.05,3000,"1966-01-17",1966,1
"133","Richea continentis",148.5,-36.0667,3000,"1966-01-20",1966,1
"134","Richea continentis",147.217918997,-36.7984714938,900,"1967-01-04",1967,1
"135","Richea continentis",146.8,-36.75,10000,"1950-01-01",1950,1
"136","Richea continentis",148.267907494,-36.448454682,2000,"1930-01-11",1930,1
"137","Richea continentis",148.32,-36.42,2000,"1969-01-23",1969,1
"138","Richea continentis",147.3346,-36.8651,50,"1998-01-17",1998,1
"139","Richea continentis",147.290481555556,-36.9055900555555,NA,"2015-01-26",2015,1
"140","Richea continentis",148.2666666667,-36.45,NA,"1953-01-01",1953,1
"141","Richea continentis",146.2667,-37.8167,10000,"1973-01-24",1973,1
"142","Richea continentis",148.684550285,-35.581780433,10000,"1961-01-10",1961,1
"143","Richea continentis",146.4667,-37.1167,10000,"1945-01-04",1945,1
"144","Richea continentis",148.39950851,-36.40868054,100,"2018-01-29",2018,1
"145","Richea continentis",147.3019,-36.9122,50,"2004-01-22",2004,1
"146","Richea continentis",148.3,-36.4166999991,1000,"1981-01-22",1981,1
"147","Richea continentis",148.263387637,-36.455773248,50,"2010-01-25",2010,1
"148","Richea continentis",146.2833,-37.8333,25000,"1977-01-22",1977,1
"149","Richea continentis",147.2915,-36.9109,50,"1998-01-15",1998,1
"150","Richea continentis",146.789017,-36.767802,NA,"2011-01-21",2011,1
"151","Richea continentis",147.2159,-36.9145,50,"1998-01-19",1998,1
"152","Richea continentis",148.775,-35.5833,1000,"1983-01-19",1983,1
"153","Richea continentis",146.3073333,-37.8341943991,50,"2015-01-02",2015,1
"154","Richea continentis",147.290481555556,-36.9055900555555,NA,"2015-01-25",2015,1
"155","Richea continentis",147.35,-36.9333,10000,"1972-01-06",1972,1
"156","Richea continentis",146.751,-37.215,500,"1973-01-01",1973,1
"157","Richea continentis",147.243,-36.923,15,"1981-01-01",1981,1
"158","Richea continentis",148.2831111111,-36.4783333333,4,"2018-01-11",2018,1
"159","Richea continentis",146.2638,-37.8094,15,"1982-01-01",1982,1
"160","Richea continentis",147.323,-36.822,50,"2004-01-27",2004,1
"161","Richea continentis",146.7667,-36.7833,3000,"1953-01-01",1953,1
"162","Richea continentis",148.29118,-36.48103,5,"2019-01-20",2019,1
"163","Richea continentis",148.7761,-35.5253,3000,"1963-01-10",1963,1
"164","Richea continentis",147.3357,-36.8656,50,"2001-01-12",2001,1
"165","Richea continentis",147.3429,-36.8448,50,"1997-01-16",1997,1
"166","Richea continentis",148.267907494,-36.448454682,2000,"1900-01-01",1900,1
"167","Richea continentis",147.2166666667,-36.8,NA,"1969-01-07",1969,1
"168","Richea continentis",146.3263,-37.8316,500,"1994-01-16",1994,1
"169","Richea continentis",147.241557,-36.899568,NA,"2014-01-25",2014,1
"170","Richea continentis",147.2905,-36.9136,50,"2004-01-22",2004,1
"171","Richea continentis",148.2625,-36.4561,5000,"1928-01-01",1928,1
"172","Richea continentis",146.8083,-36.7302,15,"1982-01-01",1982,1
"173","Richea continentis",147.283,-36.915,15,"1981-01-01",1981,1
"174","Richea continentis",148.5,-36.0667,3000,"1966-01-20",1966,1
"175","Richea continentis",148.3333333,-35.9433333,50,"2000-01-28",2000,1
"176","Richea continentis",146.2715,-37.8403,500,"2013-01-27",2013,1
"177","Richea continentis",148.317906106,-36.415120826,2000,"1969-01-23",1969,1
"178","Richea continentis",146.7013,-37.5652,500,"1973-01-07",1973,1
"179","Richea continentis",147.2791,-36.9413,15,"1981-01-01",1981,1
"180","Richea continentis",147.2825,-36.9177,15,"1981-01-01",1981,1
"181","Richea continentis",146.7726946144,-36.7325594703,150,"1982-01-26",1982,1
"182","Richea continentis",145.88,-37.47,10000,"1973-01-11",1973,1
"183","Richea continentis",148.05,-37.0667,10000,"1949-01-05",1949,1
"184","Richea continentis",148.0333,-37.0944,1000,"1987-01-02",1987,1
"185","Richea continentis",148.7981,-35.7242,50,"1994-01-12",1994,1
"186","Richea continentis",147.343,-36.863,15,"1981-01-01",1981,1
"187","Richea continentis",147.2904815556,-36.9055900556,NA,"2015-01-26",2015,1
"188","Richea continentis",146.6805,-37.2038,15,"1981-01-01",1981,1
"189","Richea continentis",146.75,-36.7667,10000,"1935-01-25",1935,1
"190","Richea continentis",146.7888,-36.7683,15,"1982-01-01",1982,1
"191","Richea continentis",148.250938,-36.448577,10000,"1930-01-25",1930,1
"192","Richea continentis",147.3288,-36.8705,500,"2000-01-11",2000,1
"193","Richea continentis",148.370120871,-36.03511912,50,"1997-01-27",1997,1
"194","Richea continentis",146.7541,-37.3622,15,"1981-01-01",1981,1
"195","Richea continentis",148.0597,-37.0097,50,"1984-01-24",1984,1
"196","Richea continentis",147.2888,-36.9066,50,"2004-01-22",2004,1
"197","Richea continentis",148.2958,-36.4597,5000,"1950-01-08",1950,1
"198","Richea continentis",147.2667,-36.85,10000,"1969-01-07",1969,1
"199","Richea continentis",146.7668612197,-36.77672671,10000,"1953-01-01",1953,1
"200","Richea continentis",148.7945435,-35.5742987,100,"1988-01-11",1988,1
"201","Richea continentis",146.7844,-36.7677,15,"1982-01-01",1982,1
"202","Richea continentis",148.42263,-36.39988,NA,"2017-01-02",2017,1
"203","Richea continentis",145.9389,-37.3583,1000,"1984-01-06",1984,1
"204","Richea continentis",147.3,-36.9,10000,"1966-01-25",1966,1
"205","Richea continentis",148.351238361,-36.381787093,1667,"1981-01-24",1981,1
"206","Richea continentis",148.314986,-36.4416439991,20,"2018-01-22",2018,1
"207","Richea continentis",148.7689,-35.5744,3000,"1965-01-27",1965,1
"208","Richea continentis",148.4166666667,-36.4166666667,NA,"1954-01-31",1954,1
"209","Richea continentis",147.3346,-36.8651,50,"1998-01-17",1998,1
"210","Richea continentis",144.0056,-37.1983,100,"2012-01-10",2012,1
"211","Richea continentis",147.2667,-36.9167,10000,"1969-01-07",1969,1
"212","Richea continentis",147.2921,-36.9118,50,"1998-01-15",1998,1
"213","Richea continentis",147.3083,-36.8694,500,"2000-01-11",2000,1
"214","Richea continentis",148.300936,-36.415244,1000,"1981-01-22",1981,1
"215","Richea continentis",147.2888,-36.9066,50,"1998-01-21",1998,1
"216","Richea continentis",147.3173,-36.8709,50,"1998-01-17",1998,1
"217","Richea continentis",148.2510034129,-36.3319905249,10000,"1964-01-18",1964,1
"218","Richea continentis",147.288,-36.913,15,"1981-01-01",1981,1
"219","Richea continentis",147.2827453613,-36.8745002747,NA,"2020-01-16",2020,1
"220","Richea continentis",148.29118,-36.48103,5,"2019-01-20",2019,1
"221","Richea continentis",148.27,-36.45,2000,"1896-01-01",1896,1
"222","Richea continentis",148.2958,-36.4597,5000,"1952-01-22",1952,1
"223","Richea continentis",146.7833,-36.7167,5000,"1935-01-25",1935,1
"224","Richea continentis",146.2667,-37.8167,25000,"1980-01-17",1980,1
"225","Richea continentis",146.4493698341,-37.1470078713,10000,"1969-01-21",1969,1
"226","Richea continentis",146.45,-37.15,NA,"1969-01-12",1969,1
"227","Richea continentis",146.9013,-37.5983,500,"1973-01-08",1973,1
"228","Richea continentis",148.775,-35.5833,50,"1983-01-19",1983,1
"229","Richea continentis",147.2652,-36.9183,15,"1981-01-01",1981,1
"230","Richea continentis",148.310835057,-36.415912955,50,"2010-01-27",2010,1
"231","Richea continentis",148.4,-36.27,10000,"1963-01-01",1963,1
"232","Richea continentis",148.0597,-37.0097,1000,"1984-01-24",1984,1
"233","Richea continentis",148.29118,-36.48103,5,"2019-01-20",2019,1
"234","Richea continentis",146.3053885118,-37.8357820097,100,"2020-01-27",2020,1
"235","Richea continentis",146.25,-37.8333,10000,"1988-01-24",1988,1
"236","Richea continentis",146.2672,-37.8392,2000,"1970-01-17",1970,1
"237","Richea continentis",148.27,-36.45,2000,"1924-01-01",1924,1
"238","Richea continentis",148.29118,-36.48103,5,"2019-01-20",2019,1
"239","Richea continentis",146.4305,-37.1427,15,"1981-01-01",1981,1
"240","Richea continentis",146.2667,-37.8167,10000,"1914-01-28",1914,1
"241","Richea continentis",146.8,-36.75,10000,"1959-01-01",1959,1
"242","Richea continentis",146.250983,-37.831931,1000,"1988-01-24",1988,1
"243","Richea continentis",148.482801878,-36.37513006,50,"2010-01-24",2010,1
"244","Richea continentis",148.7980556,-35.7241667,50,"1994-01-12",1994,1
"245","Richea continentis",148,-37,1000,"2008-01-23",2008,1
"246","Richea continentis",146.8083,-36.7358,15,"1982-01-01",1982,1
"247","Richea continentis",147.2166666667,-36.8,NA,"1954-01-01",1954,1
"248","Richea continentis",148.3176704767,-36.4153243468,10000,"1964-01-18",1964,1
"249","Richea continentis",148.267907494,-36.448454682,2000,"1896-01-01",1896,1
"250","Richea continentis",147.201,-36.765,500,"1967-01-01",1967,1
"251","Richea continentis",147.288,-36.914,50,"2001-01-11",2001,1
"252","Richea continentis",148.4,-36.2667,2000,"1963-01-01",1963,1
"253","Richea continentis",146.7986,-36.7594,15,"1982-01-01",1982,1
"254","Richea continentis",147.294444444,-36.8917,10000,"1999-01-16",1999,1
"255","Richea continentis",147.3094,-36.8688,500,"2000-01-11",2000,1
"256","Richea continentis",148.4667,-36.1167,25000,"1855-01-01",1855,1
"257","Richea continentis",146.7666,-36.7677,15,"1982-01-01",1982,1
"258","Richea continentis",147.2097,-36.9519,15,"1981-01-01",1981,1
"259","Richea continentis",147.2962,-36.8893,50,"2004-01-24",2004,1
"260","Richea continentis",147.3203,-36.8622,50,"2018-01-24",2018,1
"261","Richea continentis",148.68,-35.58,5000,"1965-01-27",1965,1
"262","Richea continentis",146.78902,-36.767803,NA,"2011-01-21",2011,1
"263","Richea continentis",146.793,-36.721,15,"1982-01-01",1982,1
"264","Richea continentis",148.3333,-35.9433,50,"2000-01-28",2000,1
"265","Richea continentis",148.258932138,-36.523177222,1000,"2002-01-13",2002,1
"266","Richea continentis",147.241557,-36.899568,NA,"2014-01-25",2014,1
"267","Richea continentis",146.7667,-36.7667,10000,"1973-01-22",1973,1
"268","Richea continentis",148.3688889,-36.0366667,50,"1997-01-27",1997,1
"269","Richea continentis",148.68,-35.58,10000,"1961-01-10",1961,1
"270","Richea continentis",147.1519,-37.1266,15,"1982-01-01",1982,1
"271","Richea continentis",147.3025,-36.8939,50,"2018-01-28",2018,1
"272","Richea continentis",147.2786,-36.9322,15,"1981-01-01",1981,1
"273","Richea continentis",147.28,-36.918,15,"1981-01-01",1981,1
"274","Richea continentis",148.334564244,-35.941785837,50,"2000-01-28",2000,1
"275","Richea continentis",146.8167,-37.5167,10000,"1964-01-03",1964,1
"276","Richea continentis",148.77,-35.65,5000,"1912-01-15",1912,1
"277","Richea continentis",147.288,-36.921,15,"1981-01-01",1981,1
"278","Richea continentis",148.27,-36.45,2000,"1930-01-11",1930,1
"279","Richea continentis",147.29,-36.94,15,"1981-01-01",1981,1
"280","Richea continentis",147.2852,-36.8708,500,"2000-01-11",2000,1
"281","Richea continentis",148.45,-36.3333,10000,"1964-01-28",1964,1
"282","Richea continentis",147.338,-36.857,15,"1981-01-01",1981,1
"283","Richea continentis",148.7833333333,-35.5666666667,NA,"1965-01-27",1965,1
"284","Richea continentis",146.789017,-36.767802,NA,"2011-01-21",2011,1
"285","Richea continentis",147.1167,-36.9667,10000,"1888-01-01",1888,1
"286","Richea continentis",148.2635987,-36.4558975,1745,"2018-01-31",2018,1
"287","Richea continentis",147.3,-36.9167,5000,"1970-01-25",1970,1
"288","Richea continentis",146.307274,-37.834855,1000,"2018-01-26",2018,1
"289","Richea continentis",146.8022,-36.7247,15,"1982-01-01",1982,1
"290","Richea continentis",147.2921,-36.9118,50,"1998-01-15",1998,1
"291","Richea continentis",148.0333,-37.0944,1000,"1987-01-02",1987,1
"292","Richea continentis",148.2632266797,-36.4561579167,1000,"1976-01-28",1976,1
"293","Richea continentis",148.78916834,-35.58068917,100,"1988-01-02",1988,1
"294","Richea continentis",148.384268,-36.415243,1000,"1984-01-27",1984,1
"295","Richea continentis",148.27,-36.45,2000,"1896-01-01",1896,1
"296","Richea continentis",146.688,-37.226,15,"1981-01-01",1981,1
"297","Richea continentis",147.3138,-36.9891,15,"1995-01-16",1995,1
"298","Richea continentis",147.2784403929,-36.8808579525,3866,"2011-01-16",2011,1
"299","Richea continentis",146.7347,-37.4319,500,"1973-01-20",1973,1
"300","Richea continentis",148.484563239,-36.031784584,10000,"1958-01-17",1958,1
"301","Richea continentis",146.4333,-37.15,2000,"1969-01-12",1969,1
"302","Richea continentis",146.7597,-36.7372,15,"1982-01-01",1982,1
"303","Richea continentis",146.27,-37.82,10000,"1973-01-24",1973,1
"304","Richea continentis",146.7717,-36.7339,50,"1982-01-26",1982,1
"305","Richea continentis",148.45,-36.05,1000,"1966-01-17",1966,1
